id,kayit_zamani,anlik_fiyat,spot_cvd,vadeli_cvd,open_interest,funding_rate,order_book_depth_bid_1pct,liquidation_pool_volume,guven_skoru,sinyal_durumu,is_win,agg_long_liq,agg_short_liq,long_short_ratio,en_olgun_emir_yasi_sn,order_book_depth_ask_1pct,en_olgun_ask_yasi_sn,long_skor,short_skor,yakin_likidite_bid,yakin_likidite_ask,emilim_borsasi,spot_egilim,perp_egilim,emilim_spot_pay,emilim_esnekligi,satici_tukenmesi,sonme_orani,alici_tukenmesi,alici_sonme_orani,spot_bid_agir_sayi,spot_ask_agir_sayi,spot_borsa_sayisi,perp_bid_agir_sayi,perp_ask_agir_sayi,perp_borsa_sayisi,spot_ob_yasi_sn,perp_ob_yasi_sn,swing_kademe,swing_yon,swing_skor,swing_seviye,swing_kisa_hedef,swing_uzun_hedef,swing_stop,swing_rr,swing_tetik,seviye_guc,seviye_yasi_dk,seviye_yenileme_sayisi,delme_min_belirleyen,delme_atr_kati,lik_yog_yon,lik_yog_ters,lik_iki_tarafli,mum_ici_konum,lik_pencere_damgasi,lik_borsa_sayisi,lik_donma_sayaci,swing_rr_kisa,harita_seviye_sayisi,harita_medyan_yas_dk,harita_grab_uygun,golge_yon,golge_kapi,golge_skor
31839,2026-07-30 00:10:57.437352+00,64000.05,2324000.4671843,520657.22,11759104822.532398,0.00007677000000000001,43350033.814280026,0.0,18.8,BEKLE,true,0.0,0.0,1.5615,542.86,46700318.89598998,301.402,0.0,18.8,"[{""usdt"": 11104358.0, ""borsa"": 3, ""fiyat"": 64000.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8672777.0, ""borsa"": 3, ""fiyat"": 63975.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8662918.0, ""borsa"": 1, ""fiyat"": 63925.0, ""kaynak"": ""BNB""}]","[{""usdt"": 17015866.0, ""borsa"": 3, ""fiyat"": 64025.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7855954.0, ""borsa"": 1, ""fiyat"": 64075.0, ""kaynak"": ""BNB""}, {""usdt"": 7156277.0, ""borsa"": 1, ""fiyat"": 64125.0, ""kaynak"": ""BNB""}]",SPOT,0.1794,-0.0372,0.7551,0.9723,true,0,false,,2,0,3,0,2,3,18.3,19.4,HAZIRLAN,LONG,50,64011.2,64011.2,65000,63940.3,16.74,SEVIYE+EMILIM,65,2549.3,255,,,,,,,,,0,0.19,22,1437.7,22,,,
31840,2026-07-30 00:11:57.655133+00,64034.95,2068047.8956135993,643088.4640000002,11755937378.9245,0.00007677000000000001,46009529.99872999,4223.989,23.8,BEKLE,true,4223.989,0.0,1.5628,603.162,54779360.59672001,361.704,0.0,23.8,"[{""usdt"": 11534626.0, ""borsa"": 3, ""fiyat"": 64000.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9365699.0, ""borsa"": 1, ""fiyat"": 63950.0, ""kaynak"": ""BNB""}, {""usdt"": 8582170.0, ""borsa"": 3, ""fiyat"": 64025.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 22150698.0, ""borsa"": 3, ""fiyat"": 64050.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9440623.0, ""borsa"": 1, ""fiyat"": 64100.0, ""kaynak"": ""BNB""}, {""usdt"": 8166126.0, ""borsa"": 1, ""fiyat"": 64075.0, ""kaynak"": ""BNB""}]",SPOT,0.1861,-0.087,,,true,0,false,,1,0,3,0,1,3,14.8,15.9,IZLE,,25,64011.2,,,,,SEVIYE,65,2550.3,255,,,,,,,1785370200,2,0,,22,1438.7,22,,,
31841,2026-07-30 00:12:57.997523+00,64032.350000000006,2954441.1840399997,649526.897,11761884776.7616,0.00007677000000000001,44695898.05472004,9223.9954,17.5,BEKLE,true,4223.9954,5000.0,1.5628,663.389,49977934.16182,421.931,0.0,17.5,"[{""usdt"": 12358081.0, ""borsa"": 3, ""fiyat"": 63975.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9347936.0, ""borsa"": 1, ""fiyat"": 63950.0, ""kaynak"": ""BNB""}, {""usdt"": 8597919.0, ""borsa"": 1, ""fiyat"": 63925.0, ""kaynak"": ""BNB""}]","[{""usdt"": 18581235.0, ""borsa"": 3, ""fiyat"": 64025.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 11008193.0, ""borsa"": 1, ""fiyat"": 64100.0, ""kaynak"": ""BNB""}, {""usdt"": 7008062.0, ""borsa"": 1, ""fiyat"": 64050.0, ""kaynak"": ""BNB""}]",SPOT,0.156,-0.0558,0.8245,1.2375,true,0,false,,1,0,3,0,1,3,11.2,12.3,IZLE,,25,64011.2,,,,,SEVIYE,65,2551.3,255,,,,,,,1785370260,3,0,,22,1439.8,22,,,
31842,2026-07-30 00:13:58.316157+00,64060.149999999994,3053676.5617734985,663905.6690000001,11762067693.835701,0.00007677000000000001,50626732.327680044,9223.9954,15.8,BEKLE,true,4223.9954,5000.0,1.5628,723.789,42283869.69742998,482.331,0.0,15.8,"[{""usdt"": 15166234.0, ""borsa"": 3, ""fiyat"": 64050.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9050479.0, ""borsa"": 1, ""fiyat"": 63975.0, ""kaynak"": ""BNB""}, {""usdt"": 8602365.0, ""borsa"": 1, ""fiyat"": 63950.0, ""kaynak"": ""BNB""}]","[{""usdt"": 12845072.0, ""borsa"": 3, ""fiyat"": 64075.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10295041.0, ""borsa"": 1, ""fiyat"": 64125.0, ""kaynak"": ""BNB""}, {""usdt"": 6732097.0, ""borsa"": 1, ""fiyat"": 64100.0, ""kaynak"": ""BNB""}]",YOK,0.1247,0.0898,0.8262,1.0708,true,0,false,,0,0,3,1,0,3,7.8,8.9,IZLE,,25,64099.9,,,,,SEVIYE,50,1871.3,187,,,,,,,1785370260,3,1,,22,1440.8,22,,,
31843,2026-07-30 00:14:58.588231+00,64007.649999999994,3924025.2775854003,965405.767,11766866695.3495,0.00007677000000000001,43298108.16911004,19537.542699999998,26.6,BEKLE,true,4223.9954,15313.5473,1.5628,784.07,49215244.84586003,542.612,0.0,26.6,"[{""usdt"": 9926148.0, ""borsa"": 1, ""fiyat"": 63950.0, ""kaynak"": ""BNB""}, {""usdt"": 9483858.0, ""borsa"": 3, ""fiyat"": 63975.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8358681.0, ""borsa"": 1, ""fiyat"": 63900.0, ""kaynak"": ""BNB""}]","[{""usdt"": 14442017.0, ""borsa"": 3, ""fiyat"": 64025.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8455472.0, ""borsa"": 1, ""fiyat"": 64100.0, ""kaynak"": ""BNB""}, {""usdt"": 7702601.0, ""borsa"": 3, ""fiyat"": 64000.0, ""kaynak"": ""BNB+BYB+OKX""}]",YOK,0.069,-0.064,0.759,0.2072,true,0,false,,0,1,3,0,2,3,4.3,5.4,IZLE,,25,64011.2,,,,,SEVIYE,65,2553.3,255,,,,,,,1785370380,3,0,,22,1441.8,22,,,
31844,2026-07-30 00:15:59.384511+00,64073.05,1904379.8155160986,99832.69099999999,11754511046.7132,0.00007677000000000001,41933376.69570996,15313.5473,38.5,BEKLE,false,0.0,15313.5473,1.5628,0,51409159.79685999,603.208,38.5,0.0,"[{""usdt"": 9877236.0, ""borsa"": 3, ""fiyat"": 64000.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9453398.0, ""borsa"": 3, ""fiyat"": 63975.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7875789.0, ""borsa"": 1, ""fiyat"": 64075.0, ""kaynak"": ""BNB""}]","[{""usdt"": 8932561.0, ""borsa"": 2, ""fiyat"": 64025.0, ""kaynak"": ""BYB+OKX""}, {""usdt"": 8791010.0, ""borsa"": 1, ""fiyat"": 64125.0, ""kaynak"": ""BNB""}, {""usdt"": 8110106.0, ""borsa"": 1, ""fiyat"": 64150.0, ""kaynak"": ""BNB""}]",SPOT,0.1695,-0.1015,0.4468,4.3385,true,0,false,,1,0,3,0,2,3,1.1,63.5,IZLE,,25,64099.9,,,,,SEVIYE,50,1873.3,188,,,,,,,1785370380,2,0,,22,1442.8,22,,,
31845,2026-07-30 00:17:00.39969+00,64062.850000000006,5950724.922231499,1320600.181,11764354322.2725,0.00007677000000000001,47391747.39458996,11210.6029,27.0,BEKLE,,0.0,11210.6029,1.5628,61.099,46004860.91623998,664.307,0.0,27.0,"[{""usdt"": 17354141.0, ""borsa"": 3, ""fiyat"": 64050.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8928049.0, ""borsa"": 3, ""fiyat"": 64075.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7154627.0, ""borsa"": 1, ""fiyat"": 64000.0, ""kaynak"": ""BNB""}]","[{""usdt"": 8791010.0, ""borsa"": 1, ""fiyat"": 64125.0, ""kaynak"": ""BNB""}, {""usdt"": 8514554.0, ""borsa"": 3, ""fiyat"": 64100.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8110106.0, ""borsa"": 1, ""fiyat"": 64150.0, ""kaynak"": ""BNB""}]",SPOT,0.1695,0.0148,0.8228,0.3298,false,,false,,1,0,3,1,0,3,62.1,63.3,IZLE,,25,64099.9,,,,,SEVIYE,50,1874.4,188,,,,,,,1785370500,1,0,,22,1443.8,22,,,
31846,2026-07-30 00:18:00.64383+00,64033.350000000006,6851210.812812904,1264291.795,11756956016.187,0.00007677000000000001,43896066.14705001,60859.2729,28.7,BEKLE,,0.0,60859.2729,1.5628,0,43365947.93353002,724.667,0.0,28.7,"[{""usdt"": 10481887.0, ""borsa"": 3, ""fiyat"": 64025.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9270769.0, ""borsa"": 3, ""fiyat"": 64050.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8084724.0, ""borsa"": 1, ""fiyat"": 63975.0, ""kaynak"": ""BNB""}]","[{""usdt"": 13017588.0, ""borsa"": 3, ""fiyat"": 64075.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8545853.0, ""borsa"": 1, ""fiyat"": 64125.0, ""kaynak"": ""BNB""}, {""usdt"": 7512208.0, ""borsa"": 1, ""fiyat"": 64150.0, ""kaynak"": ""BNB""}]",YOK,0.1437,0.0061,0.837,0.012,false,,false,,1,0,3,0,0,3,58.6,59.7,IZLE,,25,64011.2,,,,,SEVIYE,65,2556.3,256,,,,,,,1785370560,1,0,,22,1444.8,22,,,
31847,2026-07-30 00:19:00.98261+00,64057.149999999994,6253404.662708694,1271181.532,11756620138.336,0.00007677000000000001,46344066.12000003,56051.684700000005,27.8,BEKLE,,5505.959100000001,50545.725600000005,1.5648,60.234,47074661.80627,784.901,0.0,27.8,"[{""usdt"": 13664641.0, ""borsa"": 3, ""fiyat"": 64025.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8137410.0, ""borsa"": 1, ""fiyat"": 63950.0, ""kaynak"": ""BNB""}, {""usdt"": 7451252.0, ""borsa"": 1, ""fiyat"": 63925.0, ""kaynak"": ""BNB""}]","[{""usdt"": 15159564.0, ""borsa"": 3, ""fiyat"": 64075.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8665171.0, ""borsa"": 1, ""fiyat"": 64125.0, ""kaynak"": ""BNB""}, {""usdt"": 8212951.0, ""borsa"": 1, ""fiyat"": 64100.0, ""kaynak"": ""BNB""}]",YOK,0.1438,-0.0078,0.8102,0.0424,false,,false,4.0988,1,0,3,0,0,3,55,56.1,IZLE,,25,64099.9,,,,,SEVIYE,50,1876.4,188,,,,,,,1785370620,2,0,,22,1445.8,22,,,
31848,2026-07-30 00:20:01.306035+00,64020.55,7357337.265719983,1339083.086,11757690358.522602,0.00007677000000000001,47576238.94218002,56051.684700000005,21.1,BEKLE,true,5505.959100000001,50545.725600000005,1.5648,120.584,41985679.15091998,845.251,0.0,21.1,"[{""usdt"": 14765486.0, ""borsa"": 3, ""fiyat"": 64025.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 11657163.0, ""borsa"": 1, ""fiyat"": 63950.0, ""kaynak"": ""BNB""}, {""usdt"": 7461112.0, ""borsa"": 1, ""fiyat"": 63975.0, ""kaynak"": ""BNB""}]","[{""usdt"": 10013727.0, ""borsa"": 3, ""fiyat"": 64075.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9561384.0, ""borsa"": 1, ""fiyat"": 64125.0, ""kaynak"": ""BNB""}, {""usdt"": 8285971.0, ""borsa"": 1, ""fiyat"": 64150.0, ""kaynak"": ""BNB""}]",YOK,0.1308,0.0624,0.8815,0.1849,false,,false,5.713,2,0,3,0,0,3,51.2,52.3,IZLE,,50,64011.2,,,,,SEVIYE+TASFIYE,65,2558.4,256,,,,,,,1785370620,2,1,,22,1446.8,22,,,
