id,kayit_zamani,anlik_fiyat,spot_cvd,vadeli_cvd,open_interest,funding_rate,order_book_depth_bid_1pct,liquidation_pool_volume,guven_skoru,sinyal_durumu,is_win,agg_long_liq,agg_short_liq,long_short_ratio,en_olgun_emir_yasi_sn,order_book_depth_ask_1pct,en_olgun_ask_yasi_sn,long_skor,short_skor,yakin_likidite_bid,yakin_likidite_ask,emilim_borsasi,spot_egilim,perp_egilim,emilim_spot_pay,emilim_esnekligi,satici_tukenmesi,sonme_orani,alici_tukenmesi,alici_sonme_orani,spot_bid_agir_sayi,spot_ask_agir_sayi,spot_borsa_sayisi,perp_bid_agir_sayi,perp_ask_agir_sayi,perp_borsa_sayisi,spot_ob_yasi_sn,perp_ob_yasi_sn,swing_kademe,swing_yon,swing_skor,swing_seviye,swing_kisa_hedef,swing_uzun_hedef,swing_stop,swing_rr,swing_tetik,seviye_guc,seviye_yasi_dk,seviye_yenileme_sayisi,delme_min_belirleyen,delme_atr_kati,lik_yog_yon,lik_yog_ters,lik_iki_tarafli,mum_ici_konum,lik_pencere_damgasi,lik_borsa_sayisi,lik_donma_sayaci,swing_rr_kisa,harita_seviye_sayisi,harita_medyan_yas_dk,harita_grab_uygun,golge_yon,golge_kapi,golge_skor
30574,2026-07-29 02:54:04.281271+00,63939.75,-4628221.577870096,-1057121.8999999997,11668124953.7755,0.00008766800000000002,45870071.66862,0.0,46.7,BEKLE,true,0.0,0.0,1.6947,180.877,44172226.836200014,120.494,46.7,0.0,"[{""usdt"": 15242307.0, ""borsa"": 3, ""fiyat"": 63900.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10456863.0, ""borsa"": 1, ""fiyat"": 63825.0, ""kaynak"": ""BNB""}, {""usdt"": 8882679.0, ""borsa"": 1, ""fiyat"": 63850.0, ""kaynak"": ""BNB""}]","[{""usdt"": 9347252.0, ""borsa"": 1, ""fiyat"": 64025.0, ""kaynak"": ""BNB""}, {""usdt"": 9282109.0, ""borsa"": 3, ""fiyat"": 63950.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7584916.0, ""borsa"": 1, ""fiyat"": 64000.0, ""kaynak"": ""BNB""}]",YOK,-0.092,0.0189,0.7006,0.7518,false,,false,,0,1,3,0,0,3,58.8,59.9,IZLE,,25,63904,,,,,SEVIYE,70,541.4,55,,,,,,,,,0,,19,781.7,19,,,
30575,2026-07-29 02:55:04.747487+00,63972.55,-4526392.709845,-1056213.8739999998,11669307904.3292,0.00008766800000000002,57051118.51303999,0.0,64.7,BEKLE,false,0.0,0.0,1.6947,60.411,47196532.69103999,180.905,64.7,0.0,"[{""usdt"": 26189747.0, ""borsa"": 3, ""fiyat"": 63900.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10093547.0, ""borsa"": 1, ""fiyat"": 63825.0, ""kaynak"": ""BNB""}, {""usdt"": 7716665.0, ""borsa"": 3, ""fiyat"": 63925.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 11017178.0, ""borsa"": 3, ""fiyat"": 63950.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10473732.0, ""borsa"": 1, ""fiyat"": 64025.0, ""kaynak"": ""BNB""}, {""usdt"": 8329492.0, ""borsa"": 1, ""fiyat"": 64000.0, ""kaynak"": ""BNB""}]",YOK,-0.0593,0.0945,0.6346,1.0557,false,,false,,0,1,3,0,0,3,55.4,56.5,IZLE,,25,63994.8,,,,,SEVIYE,60,1273.4,128,,,,,,,,,0,,19,782.7,19,,,
30576,2026-07-29 02:56:05.266036+00,63947.45,-2800935.1582870036,-1008469.4639999999,11672763061.205399,0.00008766800000000002,57645077.746470004,0.0,12.1,BEKLE,false,0.0,0.0,1.6947,60.546,47615216.99587997,0,0.0,12.1,"[{""usdt"": 19461560.0, ""borsa"": 1, ""fiyat"": 63900.0, ""kaynak"": ""BNB""}, {""usdt"": 15534274.0, ""borsa"": 3, ""fiyat"": 63925.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7910745.0, ""borsa"": 1, ""fiyat"": 63850.0, ""kaynak"": ""BNB""}]","[{""usdt"": 10549950.0, ""borsa"": 1, ""fiyat"": 64025.0, ""kaynak"": ""BNB""}, {""usdt"": 9210044.0, ""borsa"": 3, ""fiyat"": 63975.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8255858.0, ""borsa"": 1, ""fiyat"": 64050.0, ""kaynak"": ""BNB""}]",YOK,-0.0616,0.0953,0.9183,0.5307,false,1.4291,false,,0,1,3,0,0,3,52.1,53.2,IZLE,,25,63904,,,,,SEVIYE,70,543.4,55,,,,,,,,,0,,19,783.7,19,,,
30577,2026-07-29 02:57:05.711361+00,63948.350000000006,-2964115.310539304,-1068838.8539999998,11668738117.0253,0.00008766800000000002,57086631.86572006,63.9474,5.4,BEKLE,,63.9474,0.0,1.6947,120.801,47036154.46161999,60.255,5.4,0.0,"[{""usdt"": 22214656.0, ""borsa"": 3, ""fiyat"": 63900.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10118046.0, ""borsa"": 3, ""fiyat"": 63925.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7687528.0, ""borsa"": 1, ""fiyat"": 63850.0, ""kaynak"": ""BNB""}]","[{""usdt"": 10617867.0, ""borsa"": 3, ""fiyat"": 63950.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10357676.0, ""borsa"": 1, ""fiyat"": 64025.0, ""kaynak"": ""BNB""}, {""usdt"": 8244792.0, ""borsa"": 1, ""fiyat"": 64050.0, ""kaynak"": ""BNB""}]",YOK,0.0042,0.0965,0.9813,0.0951,false,1.6102,false,,0,0,3,0,1,3,48.5,49.6,IZLE,,25,63904,,,,,SEVIYE,70,544.4,55,,,,,,,1785293700,1,0,,19,784.7,19,,,
30578,2026-07-29 02:58:05.979148+00,63949.850000000006,-2915547.407162304,-1101099.362,11671834802.6589,0.00008766800000000002,58241192.454840116,63.9474,12.6,BEKLE,false,63.9474,0.0,1.6918,181.298,47307888.57159003,120.752,12.6,0.0,"[{""usdt"": 18402613.0, ""borsa"": 1, ""fiyat"": 63900.0, ""kaynak"": ""BNB""}, {""usdt"": 15381026.0, ""borsa"": 3, ""fiyat"": 63925.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9547657.0, ""borsa"": 1, ""fiyat"": 63850.0, ""kaynak"": ""BNB""}]","[{""usdt"": 10762053.0, ""borsa"": 3, ""fiyat"": 63950.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9550018.0, ""borsa"": 1, ""fiyat"": 64025.0, ""kaynak"": ""BNB""}, {""usdt"": 9141266.0, ""borsa"": 1, ""fiyat"": 64050.0, ""kaynak"": ""BNB""}]",YOK,-0.0451,0.1036,0.9469,0.849,false,0.834,false,,0,1,3,0,0,3,45.2,46.3,IZLE,,25,63994.8,,,,,SEVIYE,60,1276.4,128,,,,,,,1785293700,1,1,,19,785.7,19,,,
30579,2026-07-29 02:59:06.592195+00,63946.350000000006,-3231192.6429452035,-1171008.89,11670896972.485401,0.00008766800000000002,57595715.80525006,63.9474,17.0,BEKLE,false,63.9474,0.0,1.6918,241.851,50025593.04751,181.305,17.0,0.0,"[{""usdt"": 17842986.0, ""borsa"": 1, ""fiyat"": 63900.0, ""kaynak"": ""BNB""}, {""usdt"": 15562358.0, ""borsa"": 3, ""fiyat"": 63925.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7939546.0, ""borsa"": 1, ""fiyat"": 63850.0, ""kaynak"": ""BNB""}]","[{""usdt"": 12046146.0, ""borsa"": 3, ""fiyat"": 63950.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9476489.0, ""borsa"": 3, ""fiyat"": 63975.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9236116.0, ""borsa"": 1, ""fiyat"": 64025.0, ""kaynak"": ""BNB""}]",YOK,-0.0461,0.0703,0.8881,0.2429,false,0.7765,false,,0,1,3,0,1,3,41.9,43,IZLE,,25,63904,,,,,SEVIYE,70,546.4,55,,,,,,,1785293700,1,2,,19,786.7,19,,,
30580,2026-07-29 03:00:06.852744+00,63954.95,-3369590.696841205,-1179542.3639999998,11668790538.6045,0.00008766800000000002,54592940.62996003,1598.757,15.2,BEKLE,false,1598.757,0.0,1.6918,302.153,47445457.112919986,241.607,15.2,0.0,"[{""usdt"": 25499451.0, ""borsa"": 3, ""fiyat"": 63900.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7912333.0, ""borsa"": 1, ""fiyat"": 63825.0, ""kaynak"": ""BNB""}, {""usdt"": 7765312.0, ""borsa"": 1, ""fiyat"": 63850.0, ""kaynak"": ""BNB""}]","[{""usdt"": 12927969.0, ""borsa"": 3, ""fiyat"": 63950.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8966967.0, ""borsa"": 1, ""fiyat"": 64025.0, ""kaynak"": ""BNB""}, {""usdt"": 7683702.0, ""borsa"": 1, ""fiyat"": 63975.0, ""kaynak"": ""BNB""}]",YOK,-0.0432,0.07,0.8585,0.7557,false,3.9289,false,,0,0,3,0,2,3,38.4,39.5,IZLE,,25,63994.8,,,,,SEVIYE,60,1278.4,128,,,,,,,1785293880,1,0,,19,787.7,19,,,
30581,2026-07-29 03:01:07.278597+00,63949.05,-426007.4253301104,-188338.98200000002,11671375140.242,0.00008766800000000002,56958104.367010064,1534.8096,46.1,BEKLE,true,1534.8096,0.0,1.6918,362.416,47945677.09143,301.87,0.0,46.1,"[{""usdt"": 19063385.0, ""borsa"": 1, ""fiyat"": 63900.0, ""kaynak"": ""BNB""}, {""usdt"": 15073643.0, ""borsa"": 3, ""fiyat"": 63925.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7802881.0, ""borsa"": 1, ""fiyat"": 63875.0, ""kaynak"": ""BNB""}]","[{""usdt"": 10391924.0, ""borsa"": 3, ""fiyat"": 63975.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9477749.0, ""borsa"": 1, ""fiyat"": 64025.0, ""kaynak"": ""BNB""}, {""usdt"": 9064288.0, ""borsa"": 3, ""fiyat"": 63950.0, ""kaynak"": ""BNB+BYB+OKX""}]",YOK,-0.0878,0.0859,0.6519,0.0254,false,,false,0.3433,0,1,3,0,0,3,34.8,35.9,IZLE,,25,63904,,,,,SEVIYE,70,548.4,55,,,,,,,1785293880,1,0,,19,788.8,19,,,
30582,2026-07-29 03:02:09.712586+00,63910.850000000006,-788549.8503114104,-193749.59299999996,11666537698.903202,0.00008766800000000002,61093756.60915998,1534.8096,34.4,BEKLE,false,1534.8096,0.0,1.6918,424.683,47548898.93289003,0,0.0,34.4,"[{""usdt"": 27908824.0, ""borsa"": 3, ""fiyat"": 63900.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10339844.0, ""borsa"": 3, ""fiyat"": 63875.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8502210.0, ""borsa"": 1, ""fiyat"": 63825.0, ""kaynak"": ""BNB""}]","[{""usdt"": 14590158.0, ""borsa"": 3, ""fiyat"": 63925.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9769373.0, ""borsa"": 1, ""fiyat"": 64000.0, ""kaynak"": ""BNB""}, {""usdt"": 7599665.0, ""borsa"": 1, ""fiyat"": 64025.0, ""kaynak"": ""BNB""}]",YOK,-0.048,0.1247,0.6165,0.6151,false,,false,1.3842,0,1,3,1,0,3,32.9,34,IZLE,,25,63904,,,,,SEVIYE,70,549.4,55,,,,,,,1785293880,1,1,,19,789.8,19,,,
30583,2026-07-29 03:03:10.114632+00,63890.149999999994,-846564.1908722098,-204205.006,11662042158.5593,0.00008766800000000002,49509194.10526999,2173.9276,36.1,BEKLE,true,2173.9276,0.0,1.6918,485.258,47458825.67579004,0,0.0,36.1,"[{""usdt"": 13971597.0, ""borsa"": 3, ""fiyat"": 63875.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9933688.0, ""borsa"": 3, ""fiyat"": 63900.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9297432.0, ""borsa"": 1, ""fiyat"": 63800.0, ""kaynak"": ""BNB""}]","[{""usdt"": 11045269.0, ""borsa"": 3, ""fiyat"": 63900.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9697709.0, ""borsa"": 3, ""fiyat"": 63925.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9081420.0, ""borsa"": 1, ""fiyat"": 63975.0, ""kaynak"": ""BNB""}]",YOK,-0.061,0.0211,0.5987,0.9999,false,,false,1.2208,1,1,3,0,1,3,29.6,30.7,IZLE,,25,63904,,,,,SEVIYE,70,550.5,55,,,,,,,1785294060,1,0,,19,790.8,19,,,
