id,kayit_zamani,anlik_fiyat,spot_cvd,vadeli_cvd,open_interest,funding_rate,order_book_depth_bid_1pct,liquidation_pool_volume,guven_skoru,sinyal_durumu,is_win,agg_long_liq,agg_short_liq,long_short_ratio,en_olgun_emir_yasi_sn,order_book_depth_ask_1pct,en_olgun_ask_yasi_sn,long_skor,short_skor,yakin_likidite_bid,yakin_likidite_ask,emilim_borsasi,spot_egilim,perp_egilim,emilim_spot_pay,emilim_esnekligi,satici_tukenmesi,sonme_orani,alici_tukenmesi,alici_sonme_orani,spot_bid_agir_sayi,spot_ask_agir_sayi,spot_borsa_sayisi,perp_bid_agir_sayi,perp_ask_agir_sayi,perp_borsa_sayisi,spot_ob_yasi_sn,perp_ob_yasi_sn,swing_kademe,swing_yon,swing_skor,swing_seviye,swing_kisa_hedef,swing_uzun_hedef,swing_stop,swing_rr,swing_tetik,seviye_guc,seviye_yasi_dk,seviye_yenileme_sayisi,delme_min_belirleyen,delme_atr_kati,lik_yog_yon,lik_yog_ters,lik_iki_tarafli,mum_ici_konum,lik_pencere_damgasi,lik_borsa_sayisi,lik_donma_sayaci,swing_rr_kisa,harita_seviye_sayisi,harita_medyan_yas_dk,harita_grab_uygun,golge_yon,golge_kapi,golge_skor
28839,2026-07-27 21:46:17.746749+00,64779.95,210630.78338830103,-701472.893,11796276310.8769,0.000070782,46551160.913760036,388.644,45.4,BEKLE,false,388.644,0.0,1.524,603.985,51440028.99916001,1692.714,45.4,0.0,"[{""usdt"": 11038428.0, ""borsa"": 3, ""fiyat"": 64750.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10755801.0, ""borsa"": 3, ""fiyat"": 64775.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9056355.0, ""borsa"": 1, ""fiyat"": 64675.0, ""kaynak"": ""BNB""}]","[{""usdt"": 18950841.0, ""borsa"": 3, ""fiyat"": 64800.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7093419.0, ""borsa"": 1, ""fiyat"": 64875.0, ""kaynak"": ""BNB""}, {""usdt"": 6860330.0, ""borsa"": 1, ""fiyat"": 64900.0, ""kaynak"": ""BNB""}]",YOK,-0.2223,-0.0499,0.0274,0.0781,false,,false,,0,2,3,0,1,3,49.8,178.5,IZLE,,25,64772.3,,,,,SEVIYE,65,1800.4,180,PCT,0.78,0.0,1.1386727986400673,false,0.011,1785188460,1,1,,22,1349.8,21,,,
28840,2026-07-27 21:47:19.055976+00,64788.95,277392.3674075006,-913268.0920000001,11794736667.9683,0.000070782,45156330.99890004,38927.1306,48.5,BEKLE,false,38927.1306,0.0,1.524,664.948,44229267.43880001,1753.677,48.5,0.0,"[{""usdt"": 13163389.0, ""borsa"": 3, ""fiyat"": 64750.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9056355.0, ""borsa"": 1, ""fiyat"": 64675.0, ""kaynak"": ""BNB""}, {""usdt"": 8607215.0, ""borsa"": 1, ""fiyat"": 64700.0, ""kaynak"": ""BNB""}]","[{""usdt"": 9682962.0, ""borsa"": 3, ""fiyat"": 64800.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7093419.0, ""borsa"": 1, ""fiyat"": 64875.0, ""kaynak"": ""BNB""}, {""usdt"": 6860330.0, ""borsa"": 1, ""fiyat"": 64900.0, ""kaynak"": ""BNB""}]",YOK,-0.228,0.0104,0.0182,0.5873,false,,true,0.169,0,2,3,0,1,2,47,45.6,HAZIRLAN,SHORT,50,64772.3,64772.3,64000,64818.4,26.76,SEVIYE+EMILIM,65,1801.4,180,,,,,,,1785188760,1,0,0.56,22,1350.8,21,,,
28841,2026-07-27 21:48:19.349304+00,64782.350000000006,242758.14102020068,-933362.194,11795867922.369999,0.000070782,41143189.861230016,38931.3376,48.9,BEKLE,false,38931.3376,0.0,1.5221,725.597,40212328.92142001,1814.326,48.9,0.0,"[{""usdt"": 11048089.0, ""borsa"": 1, ""fiyat"": 64700.0, ""kaynak"": ""BNB""}, {""usdt"": 8611973.0, ""borsa"": 3, ""fiyat"": 64750.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8068138.0, ""borsa"": 3, ""fiyat"": 64775.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 11019962.0, ""borsa"": 3, ""fiyat"": 64800.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7990492.0, ""borsa"": 1, ""fiyat"": 64875.0, ""kaynak"": ""BNB""}, {""usdt"": 6892773.0, ""borsa"": 1, ""fiyat"": 64900.0, ""kaynak"": ""BNB""}]",YOK,-0.2138,0.0114,0.03,0.0619,false,,true,0,0,2,3,0,1,3,43.9,44.9,HAZIRLAN,SHORT,50,64780.7,64780.7,64000,64833.2,15.4,SEVIYE+EMILIM,85,1802.4,181,,,,,,,1785188760,1,0,0.03,23,1351.8,21,,,
28842,2026-07-27 21:49:19.733394+00,64782.350000000006,305010.3202711015,-947453.453,11796765206.8116,0.000070782,48306402.74115996,38931.3376,27.0,BEKLE,false,38931.3376,0.0,1.5221,785.841,52192621.71177999,1874.57,27.0,0.0,"[{""usdt"": 13299440.0, ""borsa"": 1, ""fiyat"": 64700.0, ""kaynak"": ""BNB""}, {""usdt"": 12996899.0, ""borsa"": 3, ""fiyat"": 64775.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7971353.0, ""borsa"": 3, ""fiyat"": 64750.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 13489193.0, ""borsa"": 3, ""fiyat"": 64825.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9126524.0, ""borsa"": 3, ""fiyat"": 64800.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8554926.0, ""borsa"": 1, ""fiyat"": 64850.0, ""kaynak"": ""BNB""}]",YOK,-0.2052,-0.0387,0.2632,0.8261,false,,true,0,0,2,3,0,0,3,40.3,41.4,HAZIRLAN,SHORT,50,64780.7,64780.7,64000,64833.2,15.4,SEVIYE+EMILIM,85,1803.4,181,,,,,,,1785188760,1,1,0.03,23,1352.8,21,,,
28843,2026-07-27 21:50:20.275277+00,64782.350000000006,593787.281197202,-577336.002,11796440387.0025,0.000070782,45384377.93922999,38931.3376,10.0,BEKLE,false,38931.3376,0.0,1.5221,846.238,44903371.37287997,1934.967,10.0,0.0,"[{""usdt"": 10392431.0, ""borsa"": 3, ""fiyat"": 64750.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10146523.0, ""borsa"": 1, ""fiyat"": 64700.0, ""kaynak"": ""BNB""}, {""usdt"": 9780601.0, ""borsa"": 1, ""fiyat"": 64675.0, ""kaynak"": ""BNB""}]","[{""usdt"": 13244638.0, ""borsa"": 3, ""fiyat"": 64800.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9021737.0, ""borsa"": 1, ""fiyat"": 64875.0, ""kaynak"": ""BNB""}, {""usdt"": 8146295.0, ""borsa"": 1, ""fiyat"": 64850.0, ""kaynak"": ""BNB""}]",YOK,-0.1893,0.0053,,,false,,false,,0,2,3,0,0,3,36.8,37.9,IZLE,,25,64780.7,,,,,SEVIYE,85,1804.4,181,,,,,,,1785188760,1,2,,23,1353.8,21,,,
28844,2026-07-27 21:51:20.984375+00,64805.850000000006,773289.3092140022,-574928.2089999999,11798777951.736599,0.000070782,48810918.84453997,0.0,16.5,BEKLE,true,0.0,0.0,1.5208,907.003,42904546.84968999,1995.732,0.0,16.5,"[{""usdt"": 11996361.0, ""borsa"": 1, ""fiyat"": 64675.0, ""kaynak"": ""BNB""}, {""usdt"": 10335170.0, ""borsa"": 1, ""fiyat"": 64700.0, ""kaynak"": ""BNB""}, {""usdt"": 9935002.0, ""borsa"": 3, ""fiyat"": 64775.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 11025788.0, ""borsa"": 3, ""fiyat"": 64800.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8052010.0, ""borsa"": 1, ""fiyat"": 64850.0, ""kaynak"": ""BNB""}, {""usdt"": 8004902.0, ""borsa"": 1, ""fiyat"": 64875.0, ""kaynak"": ""BNB""}]",YOK,-0.2026,0.0644,0.6406,1.8544,false,,true,0.3503,0,2,3,0,1,3,33.8,34.8,IZLE,,25,64826.1,,,,,SEVIYE,50,1755.3,176,,,,,,,,,0,,23,1354.8,21,,,
28845,2026-07-27 21:52:21.439341+00,64826.149999999994,946315.9893743022,-612112.0429999998,11803012870.699001,0.000070782,44022069.25376999,0.0,33.4,BEKLE,true,0.0,0.0,1.5208,967.59,56956654.16783,2056.319,0.0,33.4,"[{""usdt"": 11932640.0, ""borsa"": 3, ""fiyat"": 64800.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9974891.0, ""borsa"": 1, ""fiyat"": 64725.0, ""kaynak"": ""BNB""}, {""usdt"": 8482179.0, ""borsa"": 1, ""fiyat"": 64700.0, ""kaynak"": ""BNB""}]","[{""usdt"": 14796899.0, ""borsa"": 3, ""fiyat"": 64825.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 14061482.0, ""borsa"": 3, ""fiyat"": 64850.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 11035655.0, ""borsa"": 1, ""fiyat"": 64900.0, ""kaynak"": ""BNB""}]",YOK,-0.1495,-0.1281,0.471,1.647,false,,true,0.2828,0,2,3,0,2,3,30.5,31.6,IZLE,,25,64826.1,,,,,SEVIYE,50,1756.3,176,,,,,,,,,0,,23,1355.8,21,,,
28846,2026-07-27 21:53:21.815121+00,64824.25,1141911.8811425022,-611015.0179999999,11803586757.643002,0.000070782,44369443.095960006,0.0,33.2,BEKLE,true,0.0,0.0,1.5208,1027.956,55738082.33546997,2116.685,0.0,33.2,"[{""usdt"": 12226922.0, ""borsa"": 3, ""fiyat"": 64800.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 11966578.0, ""borsa"": 1, ""fiyat"": 64725.0, ""kaynak"": ""BNB""}, {""usdt"": 6071760.0, ""borsa"": 1, ""fiyat"": 64700.0, ""kaynak"": ""BNB""}]","[{""usdt"": 19676974.0, ""borsa"": 3, ""fiyat"": 64850.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9603782.0, ""borsa"": 1, ""fiyat"": 64925.0, ""kaynak"": ""BNB""}, {""usdt"": 8147811.0, ""borsa"": 1, ""fiyat"": 64875.0, ""kaynak"": ""BNB""}]",YOK,-0.1768,-0.1136,0.5279,1.5469,false,,true,0.3205,0,2,3,0,2,3,27.1,28.1,IZLE,,25,64826.1,,,,,SEVIYE,50,1757.3,176,,,,,,,,,0,,23,1356.8,21,,,
28847,2026-07-27 21:54:22.172141+00,64829.25,1167596.9536692023,-629708.6479999999,11803310184.6609,0.000070782,48045018.78626001,0.0,29.7,BEKLE,true,0.0,0.0,1.5208,1088.412,50889124.174169965,2177.141,0.0,29.7,"[{""usdt"": 10884999.0, ""borsa"": 1, ""fiyat"": 64700.0, ""kaynak"": ""BNB""}, {""usdt"": 10873435.0, ""borsa"": 3, ""fiyat"": 64800.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10477665.0, ""borsa"": 1, ""fiyat"": 64725.0, ""kaynak"": ""BNB""}]","[{""usdt"": 15056531.0, ""borsa"": 3, ""fiyat"": 64825.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10276868.0, ""borsa"": 3, ""fiyat"": 64850.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8846875.0, ""borsa"": 1, ""fiyat"": 64900.0, ""kaynak"": ""BNB""}]",YOK,-0.1578,-0.0287,0.5211,1.7818,false,,true,0.4681,0,2,3,0,2,3,23.7,24.8,IZLE,,25,64826.1,,,,,SEVIYE,50,1758.4,176,,,,,,,,,0,,23,1357.8,21,,,
28848,2026-07-27 21:55:22.60595+00,64802.55,44019.95240910036,50822.994999999995,11801465069.1027,0.000070782,48562442.547440045,0.0,40.6,BEKLE,,0.0,0.0,1.5208,1148.712,44978575.243339986,2237.441,0.0,40.6,"[{""usdt"": 12440896.0, ""borsa"": 1, ""fiyat"": 64725.0, ""kaynak"": ""BNB""}, {""usdt"": 12421855.0, ""borsa"": 3, ""fiyat"": 64800.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7171480.0, ""borsa"": 1, ""fiyat"": 64700.0, ""kaynak"": ""BNB""}]","[{""usdt"": 10944309.0, ""borsa"": 3, ""fiyat"": 64850.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9082925.0, ""borsa"": 1, ""fiyat"": 64900.0, ""kaynak"": ""BNB""}, {""usdt"": 7719956.0, ""borsa"": 3, ""fiyat"": 64825.0, ""kaynak"": ""BNB+BYB+OKX""}]",YOK,-0.0923,0.0383,0.2597,0.6001,false,,false,0.5006,0,1,3,0,1,3,19.8,21.1,IZLE,,25,64780.7,,,,,SEVIYE,85,1809.4,181,,,,,,,,,0,,23,1358.8,21,,,
