id,kayit_zamani,anlik_fiyat,spot_cvd,vadeli_cvd,open_interest,funding_rate,order_book_depth_bid_1pct,liquidation_pool_volume,guven_skoru,sinyal_durumu,is_win,agg_long_liq,agg_short_liq,long_short_ratio,en_olgun_emir_yasi_sn,order_book_depth_ask_1pct,en_olgun_ask_yasi_sn,long_skor,short_skor,yakin_likidite_bid,yakin_likidite_ask,emilim_borsasi,spot_egilim,perp_egilim,emilim_spot_pay,emilim_esnekligi,satici_tukenmesi,sonme_orani,alici_tukenmesi,alici_sonme_orani,spot_bid_agir_sayi,spot_ask_agir_sayi,spot_borsa_sayisi,perp_bid_agir_sayi,perp_ask_agir_sayi,perp_borsa_sayisi,spot_ob_yasi_sn,perp_ob_yasi_sn,swing_kademe,swing_yon,swing_skor,swing_seviye,swing_kisa_hedef,swing_uzun_hedef,swing_stop,swing_rr,swing_tetik,seviye_guc,seviye_yasi_dk,seviye_yenileme_sayisi,delme_min_belirleyen,delme_atr_kati,lik_yog_yon,lik_yog_ters,lik_iki_tarafli,mum_ici_konum,lik_pencere_damgasi,lik_borsa_sayisi,lik_donma_sayaci,swing_rr_kisa,harita_seviye_sayisi,harita_medyan_yas_dk,harita_grab_uygun,golge_yon,golge_kapi,golge_skor
30839,2026-07-29 07:20:59.347468+00,64475.95,807638.9511214991,142874.32100000003,11823587709.2337,0.00008766800000000002,72715824.93707997,60674.8331,82.9,BEKLE,false,0.0,60674.8331,1.551,905.406,87267977.13983004,3079.073,82.9,0.0,"[{""usdt"": 19376271.0, ""borsa"": 1, ""fiyat"": 64400.0, ""kaynak"": ""BNB""}, {""usdt"": 18581640.0, ""borsa"": 1, ""fiyat"": 64375.0, ""kaynak"": ""BNB""}, {""usdt"": 17787849.0, ""borsa"": 3, ""fiyat"": 64450.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 32449774.0, ""borsa"": 3, ""fiyat"": 64500.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 15487268.0, ""borsa"": 3, ""fiyat"": 64475.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 13569471.0, ""borsa"": 1, ""fiyat"": 64550.0, ""kaynak"": ""BNB""}]",SPOT,0.3566,-0.091,0.1542,1.1386,true,0.4013,false,,3,0,3,0,1,3,34.4,35.5,IZLE,,25,64456.9,,,,,SEVIYE,45,47.3,5,,,,,,,1785309600,1,0,,17,808.3,17,,,
30840,2026-07-29 07:21:59.595442+00,64427.45,1064587.1889248993,233567.41300000003,11824208100.622501,0.00008766800000000002,72192680.97992,60671.8219,54.8,BEKLE,false,0.0,60671.8219,1.551,965.8,80272088.75775997,3077.638,54.8,0.0,"[{""usdt"": 20356747.0, ""borsa"": 1, ""fiyat"": 64400.0, ""kaynak"": ""BNB""}, {""usdt"": 18213365.0, ""borsa"": 3, ""fiyat"": 64450.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 16568629.0, ""borsa"": 1, ""fiyat"": 64375.0, ""kaynak"": ""BNB""}]","[{""usdt"": 25680850.0, ""borsa"": 3, ""fiyat"": 64500.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 13668024.0, ""borsa"": 1, ""fiyat"": 64575.0, ""kaynak"": ""BNB""}, {""usdt"": 13622495.0, ""borsa"": 1, ""fiyat"": 64525.0, ""kaynak"": ""BNB""}]",SPOT,0.38,-0.053,0.147,0.3384,true,0.4351,false,,3,0,3,0,1,3,30.9,32,HAZIRLAN,LONG,50,64456.9,64456.9,65000,64370.2,10,SEVIYE+EMILIM,45,48.3,5,,,,,,,1785309600,1,0,0.51,17,809.3,17,,,
30841,2026-07-29 07:22:59.901719+00,64410.850000000006,-435496.21482870023,-1025930.6900000001,11811163334.105,0.00008766800000000002,98823708.14855008,69820.5127,100.0,BEKLE,true,0.0,69820.5127,1.551,1026.115,60249319.35685,3137.953,100.0,0.0,"[{""usdt"": 31120900.0, ""borsa"": 3, ""fiyat"": 64400.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 29004630.0, ""borsa"": 1, ""fiyat"": 64300.0, ""kaynak"": ""BNB""}, {""usdt"": 16506097.0, ""borsa"": 3, ""fiyat"": 64375.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 20667275.0, ""borsa"": 1, ""fiyat"": 64500.0, ""kaynak"": ""BNB""}, {""usdt"": 11612445.0, ""borsa"": 3, ""fiyat"": 64425.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10707119.0, ""borsa"": 2, ""fiyat"": 64450.0, ""kaynak"": ""BNB+BYB""}]",HER_IKISI,0.262,0.2425,0.2901,0.2149,false,0.535,false,,3,0,3,2,0,3,27.4,28.4,IZLE,,50,64378,,,,,SEVIYE+TASFIYE,65,49.3,5,,,,,,,1785309660,1,0,,17,810.3,17,,,
30842,2026-07-29 07:24:01.542325+00,64444.850000000006,-1045167.4215341007,-1116845.8839999998,11811387654.789799,0.00008766800000000002,78166306.85260005,69820.5127,75.0,BEKLE,false,0.0,69820.5127,1.551,1087.775,75353602.92087996,3199.613,75.0,0.0,"[{""usdt"": 23106964.0, ""borsa"": 3, ""fiyat"": 64425.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 20759119.0, ""borsa"": 2, ""fiyat"": 64400.0, ""kaynak"": ""BNB+OKX""}, {""usdt"": 14241677.0, ""borsa"": 1, ""fiyat"": 64375.0, ""kaynak"": ""BNB""}]","[{""usdt"": 20398634.0, ""borsa"": 3, ""fiyat"": 64450.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 18754334.0, ""borsa"": 1, ""fiyat"": 64500.0, ""kaynak"": ""BNB""}, {""usdt"": 12680186.0, ""borsa"": 3, ""fiyat"": 64475.0, ""kaynak"": ""BNB+BYB+OKX""}]",SPOT,0.2079,0.0183,0.4005,0.4328,false,0.7048,false,,2,0,3,1,1,3,25.2,26.2,IZLE,,50,64475.9,,,,,SEVIYE+TASFIYE,45,50.3,6,,,,,,,1785309660,1,1,,16,821.3,15,,,
30843,2026-07-29 07:25:01.783826+00,64414.55,-864385.0944398986,-529721.264,11815650167.209,0.00008766800000000002,98402280.32800007,69820.5127,70.1,BEKLE,true,0.0,69820.5127,1.551,1147.955,60248892.74901997,3259.793,70.1,0.0,"[{""usdt"": 31114237.0, ""borsa"": 3, ""fiyat"": 64400.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 29141671.0, ""borsa"": 1, ""fiyat"": 64300.0, ""kaynak"": ""BNB""}, {""usdt"": 17568182.0, ""borsa"": 3, ""fiyat"": 64375.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 18390921.0, ""borsa"": 1, ""fiyat"": 64500.0, ""kaynak"": ""BNB""}, {""usdt"": 15336430.0, ""borsa"": 3, ""fiyat"": 64425.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9217966.0, ""borsa"": 1, ""fiyat"": 64475.0, ""kaynak"": ""BNB""}]",HER_IKISI,0.1974,0.2405,0.4906,1.1572,false,0.5972,false,,3,0,3,1,0,3,21.5,22.6,IZLE,,25,64382.5,,,,,SEVIYE,65,51.3,6,,,,,,,1785309660,1,2,,16,822.3,15,,,
30844,2026-07-29 07:26:02.116364+00,64425.25,-523099.0728659983,-1010947.4430000001,11818130497.7222,0.00008766800000000002,95795387.59777002,9148.690799999998,86.2,BEKLE,true,0.0,9148.690799999998,1.551,1208.274,72530670.63273998,3320.112,86.2,0.0,"[{""usdt"": 29503678.0, ""borsa"": 3, ""fiyat"": 64400.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 26637558.0, ""borsa"": 1, ""fiyat"": 64300.0, ""kaynak"": ""BNB""}, {""usdt"": 17072784.0, ""borsa"": 3, ""fiyat"": 64375.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 20843349.0, ""borsa"": 3, ""fiyat"": 64425.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 18890822.0, ""borsa"": 1, ""fiyat"": 64500.0, ""kaynak"": ""BNB""}, {""usdt"": 12240169.0, ""borsa"": 1, ""fiyat"": 64525.0, ""kaynak"": ""BNB""}]",SPOT,0.1992,0.1382,0.4439,0.8958,true,0.2629,false,,2,0,3,1,1,3,17.1,18.6,HAZIRLAN,LONG,50,64382.5,64475.9,65000,64374.8,11.4,SEVIYE+EMILIM,65,52.3,6,,,,,,,1785309660,1,0,1.0,16,823.3,15,,,
30845,2026-07-29 07:27:02.3477+00,64437.55,-578622.9175281983,-981233.6369999999,11819170789.2399,0.00008766800000000002,77902495.95536004,0.0,99.0,BEKLE,,0.0,0.0,1.5504,1268.601,71242008.61479002,3380.439,99.0,0.0,"[{""usdt"": 25491188.0, ""borsa"": 3, ""fiyat"": 64400.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 15962038.0, ""borsa"": 1, ""fiyat"": 64375.0, ""kaynak"": ""BNB""}, {""usdt"": 13413059.0, ""borsa"": 3, ""fiyat"": 64425.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 24728997.0, ""borsa"": 3, ""fiyat"": 64450.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 20134670.0, ""borsa"": 1, ""fiyat"": 64500.0, ""kaynak"": ""BNB""}, {""usdt"": 11343531.0, ""borsa"": 1, ""fiyat"": 64525.0, ""kaynak"": ""BNB""}]",SPOT,0.1862,0.0447,0.4836,0.1575,true,0.2474,false,,2,0,3,0,0,3,13.6,14.7,HAZIRLAN,LONG,50,64475.9,64475.9,65000,64374.8,8.97,SEVIYE+EMILIM,45,53.3,6,,,,,,,,,0,0.61,16,824.3,15,,,
30846,2026-07-29 07:28:02.621087+00,64448.649999999994,167329.47478060093,-870082.7900000002,11826517820.6445,0.00008766800000000002,61098315.91032006,0.0,16.5,BEKLE,false,0.0,0.0,1.5504,1328.787,68363979.44771,3440.625,0.0,16.5,"[{""usdt"": 18249730.0, ""borsa"": 1, ""fiyat"": 64400.0, ""kaynak"": ""BNB""}, {""usdt"": 18160974.0, ""borsa"": 3, ""fiyat"": 64425.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9306121.0, ""borsa"": 1, ""fiyat"": 64350.0, ""kaynak"": ""BNB""}]","[{""usdt"": 19002958.0, ""borsa"": 1, ""fiyat"": 64500.0, ""kaynak"": ""BNB""}, {""usdt"": 14598747.0, ""borsa"": 1, ""fiyat"": 64550.0, ""kaynak"": ""BNB""}, {""usdt"": 12451193.0, ""borsa"": 3, ""fiyat"": 64450.0, ""kaynak"": ""BNB+BYB+OKX""}]",SPOT,0.1672,-0.0561,0.7281,2.4204,true,0.2245,false,,2,0,3,0,0,3,10,11,IZLE,,25,64475.9,,,,,SEVIYE,45,54.3,6,,,,,,,,,0,,16,825.3,15,,,
30847,2026-07-29 07:29:02.906226+00,64479.75,-204386.11061799905,-996635.8389999999,11825751027.8484,0.00008766800000000002,95596618.39047,0.0,14.3,BEKLE,true,0.0,0.0,1.5504,1389.122,75720954.17234008,3500.96,0.0,14.3,"[{""usdt"": 52475461.0, ""borsa"": 1, ""fiyat"": 64400.0, ""kaynak"": ""BNB""}, {""usdt"": 16432785.0, ""borsa"": 3, ""fiyat"": 64450.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9472920.0, ""borsa"": 1, ""fiyat"": 64375.0, ""kaynak"": ""BNB""}]","[{""usdt"": 26534719.0, ""borsa"": 3, ""fiyat"": 64500.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 12996215.0, ""borsa"": 1, ""fiyat"": 64550.0, ""kaynak"": ""BNB""}, {""usdt"": 12388626.0, ""borsa"": 1, ""fiyat"": 64575.0, ""kaynak"": ""BNB""}]",SPOT,0.276,0.116,0.8288,1.823,true,0.2698,false,,3,0,3,1,1,3,6.5,7.6,IZLE,,25,64475.9,,,,,SEVIYE,45,55.3,6,,,,,,,,,0,,16,826.3,15,,,
30848,2026-07-29 07:30:03.165732+00,64487.95,119699.10844300041,-930193.769,11828505414.3744,0.00008766800000000002,95616846.80460997,0.0,48.4,BEKLE,false,0.0,0.0,1.5504,1449.415,83504816.33702008,3561.253,48.4,0.0,"[{""usdt"": 52492257.0, ""borsa"": 1, ""fiyat"": 64400.0, ""kaynak"": ""BNB""}, {""usdt"": 15303447.0, ""borsa"": 3, ""fiyat"": 64475.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10445081.0, ""borsa"": 2, ""fiyat"": 64450.0, ""kaynak"": ""BNB+BYB""}]","[{""usdt"": 42353100.0, ""borsa"": 3, ""fiyat"": 64500.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 13013461.0, ""borsa"": 1, ""fiyat"": 64550.0, ""kaynak"": ""BNB""}, {""usdt"": 13003050.0, ""borsa"": 1, ""fiyat"": 64575.0, ""kaynak"": ""BNB""}]",SPOT,0.3583,0.0676,0.6298,2.4902,false,1.2836,false,0,3,0,3,0,1,3,3,4,IZLE,,25,64475.9,,,,,SEVIYE,45,56.3,6,,,,,,,,,0,,16,827.3,15,,,
